                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81148,                0.55556,                0.89744,                 1.6632,             0.00023678,             0.00023678,             0.00023678
                      2,                0.46486,                0.78632,                0.97151,                 1.4787,             0.00042778,             0.00042778,             0.00042778
                      3,                0.34684,                0.85185,                0.98575,                 1.4401,             0.00057165,             0.00057165,             0.00057165
                      4,                0.29457,                 0.8604,                 0.9886,                 1.4214,             0.00050194,             0.00050194,             0.00050194
                      5,                0.25829,                0.89744,                0.99145,                 1.4033,             0.00050194,             0.00050194,             0.00050194
                      6,                 0.2292,                0.88604,                0.99145,                 1.3929,             0.00043126,             0.00043126,             0.00043126
                      7,                0.20365,                0.88889,                0.99145,                 1.3874,             0.00036057,             0.00036057,             0.00036057
                      8,                0.17972,                0.92308,                0.99145,                 1.3738,             0.00028988,             0.00028988,             0.00028988
                      9,                 0.1667,                0.93732,                0.99145,                 1.3662,              0.0002192,              0.0002192,              0.0002192
                     10,                0.15178,                0.94872,                0.99145,                 1.3612,             0.00014851,             0.00014851,             0.00014851
